transaction_id,transaction_date,account_number,amount,txn_type,merchant_name,status,customer_age,is_refund,year_month,day_of_week,customer_name,city,join_date,credit_score,segment,email,phone,category,is_digital,avg_txn_value
TXN00238,2022-01-02,ACC1023,196.31,credit,Swiggy,SUCCESS,48.0,0,2022-01,Sunday,Shweta Jain,Delhi,2019-12-02,612.0,Premium,shweta.jain@email.com,9810225283.0,Food Delivery,False,350.0
TXN00135,2022-01-03,ACC1041,37.37,credit,Hdfc Atm,FAILED,29.0,0,2022-01,Monday,Kavita Rao,Pune,2022-03-16,666.0,Senior,kavita.rao@email.com,9897767609.0,,,
TXN00101,2022-01-08,ACC1016,17.76,deposit,Paytm,FAILED,62.0,0,2022-01,Saturday,Neha Saxena,Kolkata,2021-07-02,566.0,Premium,neha.saxena@email.com,9824949509.0,Payments,True,400.0
TXN00106,2022-01-09,ACC1037,272.07,debit,Bigbasket,REVERSED,49.0,0,2022-01,Sunday,Vikram Singh,Lucknow,2022-07-26,550.0,Regular,vikram.singh@email.com,9818679461.0,,,
TXN00177,2022-01-09,ACC1047,151.34,deposit,Swiggy,SUCCESS,48.0,0,2022-01,Sunday,Madhuri Lal,Hyderabad,2021-04-14,703.0,Premium,madhuri.lal@email.com,9818306055.0,Food Delivery,False,350.0
TXN00065,2022-01-10,ACC1030,502.09,deposit,Flipkart,PENDING,59.0,0,2022-01,Monday,Meera Pillai,Kolkata,2022-07-16,840.0,Premium,meera.pillai@email.com,9885416933.0,E-commerce,True,1200.0
TXN00129,2022-01-16,ACC1026,172.34,deposit,Uber,REVERSED,44.0,0,2022-01,Sunday,,,,,,,,Transport,False,250.0
TXN00098,2022-01-22,ACC1002,219.55,credit,Zomato,SUCCESS,41.0,0,2022-01,Saturday,Suresh Kumar,Hyderabad,2019-01-16,,Senior,suresh.kumar@email.com,9856066984.0,Food Delivery,False,320.0
TXN00220,2022-01-25,ACC1042,167.81,withdrawal,Bigbasket,SUCCESS,51.0,0,2022-01,Tuesday,Usha Bhat,Mumbai,2019-08-24,574.0,Senior,usha.bhat@email.com,9886885150.0,,,
TXN00001,2022-02-02,ACC1015,312.65,withdrawal,Bigbasket,REVERSED,57.0,0,2022-02,Wednesday,Arjun Sharma,Chennai,2020-10-26,806.0,Student,arjun.sharma@email.com,9854667809.0,,,
TXN00104,2022-02-02,ACC1043,44.55,debit,Hdfc Atm,SUCCESS,24.0,0,2022-02,Wednesday,Sanjay Desai,Pune,2022-04-04,612.0,Senior,sanjay.desai@email.com,9868648080.0,,,
TXN00040,2022-02-02,ACC1018,199.4,transfer,Bigbasket,SUCCESS,37.0,0,2022-02,Wednesday,Rahul Gupta,Mumbai,2020-07-11,,Student,rahul.gupta@email.com,9887305664.0,,,
TXN00161,2022-02-09,ACC1041,34.4,debit,Flipkart,PENDING,39.0,0,2022-02,Wednesday,Kavita Rao,Pune,2022-03-16,666.0,Senior,kavita.rao@email.com,9897767609.0,E-commerce,True,1200.0
TXN00155,2022-02-10,ACC1001,230.35,transfer,Zomato,FAILED,34.0,0,2022-02,Thursday,Lakshmi Rao,Mumbai,2022-11-14,800.0,Senior,lakshmi.rao@email.com,9855665951.0,Food Delivery,False,320.0
TXN00024,2022-02-16,ACC1025,17.51,deposit,Bigbasket,FAILED,41.0,0,2022-02,Wednesday,Ravi Kapoor,Ahmedabad,2020-09-20,633.0,Senior,ravi.kapoor@email.com,9835482265.0,,,
TXN00269,2022-02-17,ACC1039,76.7,transfr,Paytm,REVERSED,29.0,0,2022-02,Thursday,Ramesh Kaur,Ahmedabad,2018-06-25,729.0,Regular,ramesh.kaur@email.com,9859356828.0,Payments,True,400.0
TXN00145,2022-02-21,ACC1003,219.16,transfr,Uber,SUCCESS,49.0,0,2022-02,Monday,Amit Sinha,Chennai,2020-04-17,624.0,Premium,amit.sinha@email.com,9825527644.0,Transport,False,250.0
TXN00117,2022-02-25,ACC1046,140.88,credit,Phonepe,FAILED,57.0,0,2022-02,Friday,,,,,,,,,,
TXN00039,2022-02-27,ACC1015,20.24,debit,Zomato,FAILED,40.0,0,2022-02,Sunday,Arjun Sharma,Chennai,2020-10-26,806.0,Student,arjun.sharma@email.com,9854667809.0,Food Delivery,False,320.0
TXN00148,2022-02-28,ACC1028,20.48,credit,Uber,FAILED,62.0,0,2022-02,Monday,Rashmi Mehta,Pune,2022-03-20,806.0,Senior,rashmi.mehta@email.com,9899086047.0,Transport,False,250.0
TXN00081,2022-03-01,ACC1006,106.75,credit,Paytm,PENDING,38.0,0,2022-03,Tuesday,,,,,,,,Payments,True,400.0
TXN00142,2022-03-01,ACC1039,1054.39,debit,Netflix,REVERSED,57.0,0,2022-03,Tuesday,Ramesh Kaur,Ahmedabad,2018-06-25,729.0,Regular,ramesh.kaur@email.com,9859356828.0,Entertainment,True,499.0
TXN00118,2022-03-04,ACC1008,25.71,credit,Netflix,PENDING,56.0,0,2022-03,Friday,Anita Nair,Jaipur,2019-03-12,604.0,Senior,anita.nair@email.com,9896434410.0,Entertainment,True,499.0
TXN00211,2022-03-07,ACC1016,349.44,debit,Phonepe,FAILED,52.0,0,2022-03,Monday,Neha Saxena,Kolkata,2021-07-02,566.0,Premium,neha.saxena@email.com,9824949509.0,,,
TXN00042,2022-03-09,ACC1032,191.91,debit,Paytm,SUCCESS,56.0,0,2022-03,Wednesday,Rekha Patil,Pune,2018-12-07,731.0,Senior,rekha.patil@email.com,9835253920.0,Payments,True,400.0
TXN00151,2022-03-11,ACC1005,216.1,withdrawal,Amazon,PENDING,38.0,0,2022-03,Friday,Anjali Kulkarni,Mumbai,2019-07-21,726.0,Regular,anjali.kulkarni@email.com,9861028923.0,E-commerce,True,1500.0
TXN00084,2022-03-12,ACC1048,68.21,transfer,Uber,FAILED,25.0,0,2022-03,Saturday,Mohan Hegde,Lucknow,2018-05-12,834.0,Premium,mohan.hegde@email.com,9887432467.0,Transport,False,250.0
TXN00150,2022-03-12,ACC1024,231.71,withdrawal,Uber,SUCCESS,48.0,0,2022-03,Saturday,Geeta Nambiar,Kolkata,2020-02-13,747.0,Regular,geeta.nambiar@email.com,9827101682.0,Transport,False,250.0
TXN00241,2022-03-13,ACC1036,45.21,transfr,Hdfc Atm,PENDING,54.0,0,2022-03,Sunday,Arun Iyer,Lucknow,2019-01-10,703.0,Senior,arun.iyer@email.com,9896181498.0,,,
